
------------------------------------------------------------ ------------------------------------------------------------ ------------------------------------------------------------
[ [ [
3] 3] 3]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
55048 55048 55048
[ [ [
ID] ID] ID]
Interval Interval Interval
Transfer Transfer Transfer
Bandwidth Bandwidth Bandwidth
Jitter Jitter Jitter
Lost/Total Lost/Total Lost/Total
Datagrams Datagrams Datagrams
Latency Latency Latency
avg/min/max/stdev avg/min/max/stdev avg/min/max/stdev
PPS PPS PPS
0.000 9.03 0.26
0.500 8.98 0
1.000 9.01 0
1.500 8.98 0
2.000 9.03 0
2.500 9.01 0
3.000 9.01 0
3.500 9.01 0
4.000 9.01 0
4.500 9.01 0
5.000 9.01 0
5.500 9.01 0
6.000 9.03 0
6.500 9.01 0
7.000 9.01 0
7.500 .89 2.6
8.000 .37 53
8.500 0 0
9.000 0 0
9.500 0 0
10.000 0 0
10.500 0 0
11.000 0 0
11.500 0 0
12.000 4.14 69
12.500 9.01 0
13.000 8.75 0
13.500 9.29 0
14.000 9.03 0
14.500 9.01 0
15.000 9.01 0
0.000 6.36
