
[ [ [
4] 4] 4]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
54846 54846 54846
0.000 9.03 0
0.500 9.03 0
1.000 9.01 0
1.500 9.01 0
2.000 9.01 0
2.500 8.89 0
3.000 8.96 0
3.500 8.98 0
4.000 9.03 0
4.500 8.96 0
5.000 8.96 0
5.500 9.01 0
6.000 9.06 0
6.500 9.03 0
7.000 8.98 0
7.500 1.29 1.8
8.000 .02 0
8.500 0 0
9.000 0 0
9.500 4.63 58
10.000 9.01 0
10.500 9.01 0
11.000 8.91 0
11.500 9.01 0
12.000 9.01 0
12.500 9.03 0
13.000 9.01 0
13.500 9.03 0
14.000 9.01 0
14.500 8.63 0
15.000 9.34 0
0.000 7.78
