
[ [ [
4] 4] 4]
local local local
192.168.4.2 192.168.4.2 192.168.4.2
port port port
5001 5001 5001
connected connected connected
with with with
192.168.4.1 192.168.4.1 192.168.4.1
port port port
59560 59560 59560
0.000 8.75 1.6
0.500 8.75 0
1.000 8.89 0
1.500 8.96 0
2.000 9.01 0
2.500 9.01 0
3.000 9.01 0
3.500 8.84 0
4.000 8.94 0
4.500 8.96 0
5.000 9.01 0
5.500 9.03 0
6.000 9.01 0
6.500 8.98 0
7.000 9.03 0
7.500 9.01 0
8.000 7.13 0
8.500 0 0
9.000 .21 0
9.500 1.48 73
10.000 9.01 0
10.500 8.89 0
11.000 8.96 0
11.500 9.01 0
12.000 9.01 0
12.500 9.01 0
13.000 8.98 0
13.500 9.01 0
14.000 9.01 0
0.000 8.06
